,FaithfulnessEstimate,FaithfulnessEstimate,FaithfulnessEstimate,FaithfulnessEstimate,FaithfulnessEstimate,FaithfulnessEstimate,FaithfulnessEstimate,FaithfulnessCorrelation,FaithfulnessCorrelation,FaithfulnessCorrelation,FaithfulnessCorrelation,FaithfulnessCorrelation,FaithfulnessCorrelation,FaithfulnessCorrelation,MaxSensitivity,MaxSensitivity,MaxSensitivity,MaxSensitivity,MaxSensitivity,MaxSensitivity,MaxSensitivity,Complexity,Complexity,Complexity,Complexity,Complexity,Complexity,Complexity,RandomLogit,RandomLogit,RandomLogit,RandomLogit,RandomLogit,RandomLogit,RandomLogit,IterativeRemovalOfFeatures,IterativeRemovalOfFeatures,IterativeRemovalOfFeatures,IterativeRemovalOfFeatures,IterativeRemovalOfFeatures,IterativeRemovalOfFeatures,IterativeRemovalOfFeatures,AvgSensitivity,AvgSensitivity,AvgSensitivity,AvgSensitivity,AvgSensitivity,AvgSensitivity,AvgSensitivity,Sparseness,Sparseness,Sparseness,Sparseness,Sparseness,Sparseness,Sparseness
,IntegratedGradients,Saliency,lrp_epsilon_plus_flat_zennit,lrp_captum,custom_shap_quantus_interface,grad_cam,lime_quantus_interface,IntegratedGradients,Saliency,lrp_epsilon_plus_flat_zennit,lrp_captum,custom_shap_quantus_interface,grad_cam,lime_quantus_interface,IntegratedGradients,Saliency,lrp_epsilon_plus_flat_zennit,lrp_captum,custom_shap_quantus_interface,grad_cam,lime_quantus_interface,IntegratedGradients,Saliency,lrp_epsilon_plus_flat_zennit,lrp_captum,custom_shap_quantus_interface,grad_cam,lime_quantus_interface,IntegratedGradients,Saliency,lrp_epsilon_plus_flat_zennit,lrp_captum,custom_shap_quantus_interface,grad_cam,lime_quantus_interface,IntegratedGradients,Saliency,lrp_epsilon_plus_flat_zennit,lrp_captum,custom_shap_quantus_interface,grad_cam,lime_quantus_interface,IntegratedGradients,Saliency,lrp_epsilon_plus_flat_zennit,lrp_captum,custom_shap_quantus_interface,grad_cam,lime_quantus_interface,IntegratedGradients,Saliency,lrp_epsilon_plus_flat_zennit,lrp_captum,custom_shap_quantus_interface,grad_cam,lime_quantus_interface
0,0.4019404135351284,0.7781292378913414,0.21619384800415908,0.4579580522921158,0.3580277524442871,0.48931192485780894,0.13728848357628243,0.3861155381154657,0.5790950606923754,-0.3184101966782054,0.12359508732696783,0.3489805985959912,0.11825833418276882,0.23814104204039038,0.030162018,0.05805653,0.00018356403,0.08122789,0.29990044,0.003794721,0.32797542,10.100881807027378,10.568374651993828,10.654744134170294,10.42282858952613,10.966423302304381,10.900936323988688,9.726924174509122,0.5885472517362008,0.7433009108029912,1.0000000019801512,0.49157301198899656,1.0,-0.11708653664457688,0.4047243157189288,1.1292126564222542,1.117739571546096,1.126611967586939,1.1300746734156775,1.1323478215369533,1.1305228192784256,1.1320334518989625,0.030714858323335648,0.05639752000570297,7.566971908090636e-05,0.25363439321517944,0.3186882734298706,0.002728139515966177,0.32089924812316895,0.7011015519646702,0.5345850608154891,0.47912752667833164,0.6062326091353339,0.22374918023049845,0.3368149209059475,0.8020779844136596
1,0.4148357850427057,0.6913657265291282,0.04860134672809574,0.18080609253733854,-0.20868688226478296,0.7444720540368084,0.24521721850645922,-0.2587547077629301,0.25666505040690324,0.5327022103679496,-0.2988991154093869,0.14341379350348596,-0.2654529216241619,0.2844907234364819,0.030667024,0.017018428,4.4764216e-05,0.10105986,204677.02,0.0013869879,0.22637482,10.229578811756452,10.735077876825601,10.397548530460494,10.341191834983647,11.06127858417945,10.810727870050503,9.455131026840833,0.4473946816816634,0.6217002637079414,1.000000001208829,0.5027422622229687,1.0,0.055033674814570714,0.4534026408276812,1.0592348080742937,1.0628688625929996,1.064315613163572,1.0645064974380318,1.0636343995729831,1.0639992138970769,1.0592348080742937,0.029500599950551987,0.01792754977941513,4.6467823267448694e-05,0.12194234132766724,204677.015625,0.0012893120292574167,0.2188287079334259,0.6707691004227644,0.45782302897318833,0.573215774111535,0.6342571250765419,0.04850734700047928,0.4134258956317515,0.8493164013005977
2,0.2994760129960101,-0.32007304466337905,0.2880369359752183,0.01509920862645087,-0.3849837060924493,-0.029139030038978237,0.17884158525638338,0.07637481610455518,-0.10639801191930522,-0.5250833639939253,-0.03997880451090788,0.3010037187878479,0.2006938010586968,0.07259951662378948,0.01743633,0.022396987,7.0781396e-05,0.32469591,16451.58,0.0023107475,0.28858954,10.314382330526257,10.570729097000324,10.17612325475089,10.030056124228087,11.053186643623466,10.907589251601753,9.378216859255708,0.4148807846060401,0.7889322457643423,1.000000000418406,0.6320549737811213,1.0,-0.4694214102091011,0.5986432031456984,1.0300550179824484,1.030838219515644,1.0316399395685067,1.0312888667918685,1.0296375122640171,1.0323075951280885,1.0314719843864282,0.017375197261571884,0.022260544821619987,5.292428613756783e-05,0.3241962194442749,8226.140625,0.0019342226441949606,0.27144789695739746,0.646923963628256,0.5263734904967723,0.6455761886355965,0.7340023689325283,0.057740984435729836,0.3320058735950734,0.8607858930889798
3,0.5175873106793435,0.610325453651706,0.5998860624000508,0.0375791027575831,-0.34837144553169586,-0.36731478858994027,0.7477428466833815,0.25933215736883625,-0.16751074399596008,0.1387504755267836,0.2690209337250417,0.18643598875184111,0.06050567865489808,0.19647032977202702,0.019764047,0.008420264,4.186626e-05,1.6178575,0.46932915,0.0012620975,1.0770506,9.690919412924549,10.600196415211844,10.406737935326886,9.396479849408196,11.087353583857764,10.789009562546154,8.778898467941834,0.7918181444551997,0.7945474564583704,1.0000000031926186,0.9991324112221756,1.0,0.09223090220573159,0.7113251081348475,1.9671450302331124,1.9672092950646416,1.9676202556779145,1.9675801386627825,1.9677568744117124,1.9676550595764581,1.4843381113375003,0.01939474418759346,0.008348163217306137,3.500585808069445e-05,1.6168118715286255,0.4693291485309601,0.000994330388493836,1.0476605892181396,0.7693792585386968,0.5272137709809541,0.6091867461449649,0.8459075170715679,0.004301294994126134,0.42817885604740047,0.9107591917179206
4,0.2170906177188905,-0.4426476173121189,0.10367242262964071,0.15309897564445368,-0.01917902618942533,-0.542501758603509,-0.1233422371784747,-0.3352170772469893,0.14305220250134107,0.06415065941057875,0.1822246645821921,0.12539896215468324,0.13860673592073428,0.20165493206553453,0.019983903,0.017391674,5.0393453e-05,0.120568655,2.64194,0.0021952558,0.46694702,10.312705729512624,10.597656589678632,10.21294232959331,10.216960227582877,10.979617918154199,10.943638262302866,9.555126296905675,0.5953090299229491,0.8981655833936296,1.000000000722205,0.5897459626723764,1.0,-0.3120199703589556,0.3574171360129784,1.003091069915257,1.0031116065062875,1.0031084470307405,1.0030428432037013,1.003077180145425,1.003074855248336,1.0028988188092072,0.0198323056101799,0.017359977588057518,4.568722579278983e-05,0.11086829006671906,1.9306387901306152,0.0020714960992336273,0.44549453258514404,0.6414569550846404,0.5243093066651175,0.6386325874166189,0.6805729699314841,0.1209494558279501,0.2913523094786949,0.8297986318808089
5,0.29005263475672677,-0.6318597036935558,-0.5239159405668739,0.06498586643856143,-0.24836545568516952,0.12396028724766583,0.02056056823814891,-0.0023917771679704877,0.558364153158894,-0.13153499202798027,0.2660051301917913,0.04080511546139489,0.19189878427259885,0.15143095185206804,0.0076567293,0.008814672,8.262511e-05,0.0644842,671974.56,0.0005665903,0.2729501,10.573019321326061,10.786355281084909,10.595015253827624,10.188941651146271,11.021571258818845,10.943622886895158,9.405514225179994,0.18858826342227175,0.6387874177606124,1.0000000011096852,0.7715343815392756,1.0,-0.7957877271584798,0.5003836570244992,1.0054908061627543,1.0056865751666635,1.005807644801962,1.005807316780789,1.0055746901243623,1.0057382235923598,1.0057823275309374,0.00762280635535717,0.008811183273792267,4.9549602408660576e-05,0.057875655591487885,671974.5625,0.0005500607658177614,0.22876949608325958,0.5437630687103722,0.4247303733490875,0.506475574533561,0.6677790916374363,0.07880908484983129,0.30469732309270103,0.8555922648432838
6,0.4629186851669782,-0.4344460017869404,0.07470882754499669,0.08033081120469117,-0.14657737941834062,-0.20877155640604972,-0.165726282940922,0.006347914474199131,-0.2345576553013895,-0.22602245505664545,0.11825732077710635,0.5719469719336356,-0.006102541291030041,0.3084697101115477,0.01848463,0.016371343,0.00013991696,1.1936934,0.68539166,0.0009110488,0.25086048,10.419596396801438,10.572159295960638,10.349730820022106,9.997828746907494,11.058818407043011,10.730800932155503,9.81260737644814,0.49805353358808635,0.8042451049106537,1.000000000694008,0.6375840254145316,1.0,-0.29954362452691474,0.3336734186682849,1.0000129348062003,1.0000122791247748,1.000006974066018,1.0000084046436584,1.0000117426581596,1.000009417969487,1.0000067952438059,0.018371421843767166,0.01636601611971855,8.10234050732106e-05,0.7456791996955872,0.6052737236022949,0.0007623294950462878,0.2455979585647583,0.603110755805986,0.5235283171611991,0.5703723702527487,0.7255100718660449,0.03519538481753365,0.46783174585793674,0.7821140167558767
7,0.7387139744260786,0.1456289251092589,0.23535073809377938,0.49670236200757956,0.40621105814355474,-0.4612280683919694,-0.09693166907722695,-0.15792376128215574,0.04827337193894305,-0.44453126469614684,0.13802596182970975,0.22149683725702707,0.23136025791499928,-0.5640973529028114,0.031504296,0.030632365,2.6138085e-05,0.08730246,4.237699,0.0038888156,0.20463306,10.562764662513095,10.790223074843755,10.505424338017288,10.486080168030439,11.067261300171829,10.846277940319926,9.597529310141407,0.34889217626015157,0.5645952970056864,1.0000000025359035,0.38804383593707004,1.0,0.4812440825991917,0.5719575157048113,1.0175736750491495,1.0185117433100714,1.017820608997397,1.0185975191082548,1.0186146623214114,1.0194184221685276,1.0180556561881389,0.03133149445056915,0.030588071793317795,2.265187504235655e-05,0.07347305119037628,4.237699031829834,0.0035673188976943493,0.19897876679897308,0.5454982475106699,0.41907703294018905,0.5457691566278244,0.5772754572011639,0.06754063920668145,0.3813521315618781,0.8264844724865338
